t_s,phase,channel,unit,value
0.377,static,vccaux,mV,1502
0.380,static,vccaux_pmc,mV,1500
0.384,static,vcc_pmc,mV,876
0.387,static,vcc_psfp,mV,880
0.390,static,vcc_pslp,mV,879
0.394,static,vcc_soc,mV,805
0.397,static,vp_vn,mV,129
0.400,static,die_temp,mC,37312
0.403,static,versal_thermal,mC,37304
0.912,static,vccaux,mV,1503
0.915,static,vccaux_pmc,mV,1500
0.918,static,vcc_pmc,mV,876
0.922,static,vcc_psfp,mV,879
0.925,static,vcc_pslp,mV,878
0.928,static,vcc_soc,mV,803
0.931,static,vp_vn,mV,129
0.935,static,die_temp,mC,37281
0.937,static,versal_thermal,mC,37273
1.446,static,vccaux,mV,1502
1.450,static,vccaux_pmc,mV,1502
1.453,static,vcc_pmc,mV,876
1.456,static,vcc_psfp,mV,880
1.460,static,vcc_pslp,mV,879
1.462,static,vcc_soc,mV,803
1.466,static,vp_vn,mV,129
1.469,static,die_temp,mC,37406
1.472,static,versal_thermal,mC,37460
1.981,static,vccaux,mV,1502
1.984,static,vccaux_pmc,mV,1501
1.987,static,vcc_pmc,mV,876
1.990,static,vcc_psfp,mV,877
1.994,static,vcc_pslp,mV,880
1.997,static,vcc_soc,mV,803
2.000,static,vp_vn,mV,129
2.004,static,die_temp,mC,37703
2.007,static,versal_thermal,mC,37515
2.515,static,vccaux,mV,1502
2.518,static,vccaux_pmc,mV,1501
2.521,static,vcc_pmc,mV,875
2.524,static,vcc_psfp,mV,880
2.527,static,vcc_pslp,mV,879
2.531,static,vcc_soc,mV,804
2.534,static,vp_vn,mV,128
2.537,static,die_temp,mC,37367
2.540,static,versal_thermal,mC,37843
3.049,static,vccaux,mV,1502
3.052,static,vccaux_pmc,mV,1502
3.055,static,vcc_pmc,mV,876
3.058,static,vcc_psfp,mV,881
3.065,static,vcc_pslp,mV,880
3.066,static,vcc_soc,mV,804
3.069,static,vp_vn,mV,129
3.072,static,die_temp,mC,37507
3.076,static,versal_thermal,mC,37500
3.584,static,vccaux,mV,1500
3.588,static,vccaux_pmc,mV,1500
3.591,static,vcc_pmc,mV,876
3.594,static,vcc_psfp,mV,880
3.597,static,vcc_pslp,mV,879
3.600,static,vcc_soc,mV,805
3.604,static,vp_vn,mV,129
3.607,static,die_temp,mC,37593
3.610,static,versal_thermal,mC,37187
4.118,static,vccaux,mV,1503
4.121,static,vccaux_pmc,mV,1502
4.125,static,vcc_pmc,mV,875
4.128,static,vcc_psfp,mV,876
4.131,static,vcc_pslp,mV,878
4.134,static,vcc_soc,mV,803
4.137,static,vp_vn,mV,129
4.141,static,die_temp,mC,37210
4.144,static,versal_thermal,mC,37328
4.652,static,vccaux,mV,1502
4.655,static,vccaux_pmc,mV,1500
4.658,static,vcc_pmc,mV,875
4.661,static,vcc_psfp,mV,879
4.665,static,vcc_pslp,mV,880
4.668,static,vcc_soc,mV,804
4.671,static,vp_vn,mV,129
4.674,static,die_temp,mC,37265
4.677,static,versal_thermal,mC,37273
5.186,static,vccaux,mV,1502
5.189,static,vccaux_pmc,mV,1503
5.192,static,vcc_pmc,mV,875
5.195,static,vcc_psfp,mV,879
5.198,static,vcc_pslp,mV,879
5.201,static,vcc_soc,mV,803
5.205,static,vp_vn,mV,130
5.208,static,die_temp,mC,37429
5.211,static,versal_thermal,mC,37210
5.720,static,vccaux,mV,1502
5.723,static,vccaux_pmc,mV,1501
5.727,static,vcc_pmc,mV,875
5.730,static,vcc_psfp,mV,881
5.733,static,vcc_pslp,mV,880
5.737,static,vcc_soc,mV,803
5.740,static,vp_vn,mV,129
5.743,static,die_temp,mC,37187
5.746,static,versal_thermal,mC,37195
6.255,static,vccaux,mV,1502
6.258,static,vccaux_pmc,mV,1500
6.261,static,vcc_pmc,mV,876
6.264,static,vcc_psfp,mV,879
6.268,static,vcc_pslp,mV,880
6.271,static,vcc_soc,mV,804
6.274,static,vp_vn,mV,129
6.277,static,die_temp,mC,37375
6.280,static,versal_thermal,mC,37554
6.789,static,vccaux,mV,1504
6.792,static,vccaux_pmc,mV,1500
6.795,static,vcc_pmc,mV,875
6.798,static,vcc_psfp,mV,877
6.801,static,vcc_pslp,mV,880
6.805,static,vcc_soc,mV,805
6.808,static,vp_vn,mV,129
6.811,static,die_temp,mC,37148
6.814,static,versal_thermal,mC,37609
7.322,static,vccaux,mV,1502
7.326,static,vccaux_pmc,mV,1502
7.329,static,vcc_pmc,mV,875
7.332,static,vcc_psfp,mV,880
7.335,static,vcc_pslp,mV,880
7.338,static,vcc_soc,mV,805
7.341,static,vp_vn,mV,129
7.345,static,die_temp,mC,37492
7.348,static,versal_thermal,mC,37726
7.856,static,vccaux,mV,1502
7.859,static,vccaux_pmc,mV,1500
7.863,static,vcc_pmc,mV,876
7.866,static,vcc_psfp,mV,877
7.869,static,vcc_pslp,mV,879
7.872,static,vcc_soc,mV,805
7.876,static,vp_vn,mV,129
7.879,static,die_temp,mC,37406
7.882,static,versal_thermal,mC,37273
8.390,static,vccaux,mV,1501
8.394,static,vccaux_pmc,mV,1501
8.397,static,vcc_pmc,mV,876
8.400,static,vcc_psfp,mV,878
8.403,static,vcc_pslp,mV,879
8.406,static,vcc_soc,mV,803
8.409,static,vp_vn,mV,129
8.413,static,die_temp,mC,37140
8.416,static,versal_thermal,mC,37445
8.924,static,vccaux,mV,1502
8.927,static,vccaux_pmc,mV,1502
8.930,static,vcc_pmc,mV,877
8.934,static,vcc_psfp,mV,880
8.937,static,vcc_pslp,mV,879
8.940,static,vcc_soc,mV,805
8.943,static,vp_vn,mV,129
8.946,static,die_temp,mC,37437
8.949,static,versal_thermal,mC,37250
9.458,static,vccaux,mV,1501
9.461,static,vccaux_pmc,mV,1500
9.464,static,vcc_pmc,mV,876
9.467,static,vcc_psfp,mV,878
9.470,static,vcc_pslp,mV,880
9.473,static,vcc_soc,mV,808
9.477,static,vp_vn,mV,129
9.480,static,die_temp,mC,37367
9.483,static,versal_thermal,mC,37265
9.992,static,vccaux,mV,1503
9.995,static,vccaux_pmc,mV,1500
10.000,static,vcc_pmc,mV,877
10.003,static,vcc_psfp,mV,878
10.008,static,vcc_pslp,mV,879
10.011,static,vcc_soc,mV,804
10.014,static,vp_vn,mV,129
10.017,static,die_temp,mC,37453
10.020,static,versal_thermal,mC,37515
10.529,static,vccaux,mV,1502
10.532,static,vccaux_pmc,mV,1500
10.535,static,vcc_pmc,mV,875
10.539,static,vcc_psfp,mV,881
10.542,static,vcc_pslp,mV,879
10.545,static,vcc_soc,mV,803
10.548,static,vp_vn,mV,128
10.551,static,die_temp,mC,37234
10.555,static,versal_thermal,mC,37453
11.063,static,vccaux,mV,1502
11.066,static,vccaux_pmc,mV,1501
11.069,static,vcc_pmc,mV,876
11.072,static,vcc_psfp,mV,877
11.076,static,vcc_pslp,mV,880
11.079,static,vcc_soc,mV,804
11.082,static,vp_vn,mV,129
11.085,static,die_temp,mC,37234
11.088,static,versal_thermal,mC,37585
11.597,static,vccaux,mV,1502
11.600,static,vccaux_pmc,mV,1504
11.603,static,vcc_pmc,mV,876
11.606,static,vcc_psfp,mV,880
11.609,static,vcc_pslp,mV,880
11.613,static,vcc_soc,mV,805
11.616,static,vp_vn,mV,129
11.619,static,die_temp,mC,37093
11.622,static,versal_thermal,mC,37218
12.130,static,vccaux,mV,1502
12.133,static,vccaux_pmc,mV,1501
12.137,static,vcc_pmc,mV,876
12.140,static,vcc_psfp,mV,883
12.143,static,vcc_pslp,mV,880
12.146,static,vcc_soc,mV,803
12.149,static,vp_vn,mV,129
12.153,static,die_temp,mC,37398
12.156,static,versal_thermal,mC,37328
12.664,static,vccaux,mV,1503
12.667,static,vccaux_pmc,mV,1500
12.670,static,vcc_pmc,mV,876
12.674,static,vcc_psfp,mV,879
12.677,static,vcc_pslp,mV,879
12.680,static,vcc_soc,mV,802
12.684,static,vp_vn,mV,129
12.687,static,die_temp,mC,37187
12.690,static,versal_thermal,mC,37671
13.198,static,vccaux,mV,1502
13.201,static,vccaux_pmc,mV,1501
13.204,static,vcc_pmc,mV,875
13.208,static,vcc_psfp,mV,880
13.211,static,vcc_pslp,mV,879
