t_s,phase,channel,unit,value
0.101,static,VCCINT_V,V,0.805
0.101,static,VCCINT_I,A,4.0726
0.101,static,VCCINT,W,3.2961
0.101,static,VCC_SOC_V,V,0.8062
0.101,static,VCC_SOC_I,A,0.5989
0.101,static,VCC_SOC,W,0.4769
0.151,static,VCC_PMC_V,V,0.8788
0.151,static,VCC_PMC_I,A,0.0095
0.151,static,VCC_PMC,W,0.0086
0.151,static,VCC_PSFP_V,V,0.8813
0.151,static,VCC_PSFP_I,A,0.192
0.151,static,VCC_PSFP,W,0.1679
0.151,static,VCC_PSLP_CPM5_V,V,0.8788
0.151,static,VCC_PSLP_CPM5_I,A,0.7175
0.151,static,VCC_PSLP_CPM5,W,0.6318
0.151,static,VCC1V1_LP4_V,V,1.1025
0.151,static,VCC1V1_LP4_I,A,0.0678
0.151,static,VCC1V1_LP4,W,0.0781
0.151,static,VCCAUX_V,V,1.5037
0.201,static,VCCAUX_I,A,0.7585
0.201,static,VCCAUX,W,0.2808
0.201,static,VCCAUX_PMC_V,V,1.5025
0.201,static,VCCAUX_PMC_I,A,0.0875
0.201,static,VCCAUX_PMC,W,0.0391
0.703,static,VCCINT_V,V,0.805
0.703,static,VCCINT_I,A,4.6488
0.703,static,VCCINT,W,3.6624
0.703,static,VCC_SOC_V,V,0.805
0.703,static,VCC_SOC_I,A,3.9248
0.753,static,VCC_SOC,W,3.1473
0.753,static,VCC_PMC_V,V,0.8775
0.753,static,VCC_PMC_I,A,0.152
0.753,static,VCC_PMC,W,0.1336
0.753,static,VCC_PSFP_V,V,0.88
0.753,static,VCC_PSFP_I,A,0.1904
0.753,static,VCC_PSFP,W,0.1679
0.753,static,VCC_PSLP_CPM5_V,V,0.8775
0.753,static,VCC_PSLP_CPM5_I,A,1.959
0.753,static,VCC_PSLP_CPM5,W,1.7167
0.753,static,VCC1V1_LP4_V,V,1.1025
0.753,static,VCC1V1_LP4_I,A,1.09
0.803,static,VCC1V1_LP4,W,1.1953
0.803,static,VCCAUX_V,V,1.5037
0.803,static,VCCAUX_I,A,0.7575
0.803,static,VCCAUX,W,1.1414
0.803,static,VCCAUX_PMC_V,V,1.5025
0.803,static,VCCAUX_PMC_I,A,0.088
